Genes	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8	Sample9	Sample10
ENSRNOG00000046319	2	0	0	0	0	0	0	0	0	0
ENSRNOG00000047964	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000050370	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000032365	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040300	2	0	0	0	0	1	1	0	0	0
ENSRNOG00000058808	1	0	0	0	0	0	0	0	1	0
ENSRNOG00000061316	2	4	9	10	3	7	6	9	13	9
ENSRNOG00000050129	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000040316	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000023659	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000029897	0	1	3	1	0	1	4	2	4	1
ENSRNOG00000042852	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000061806	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000055877	0	0	0	0	0	0	2	0	0	0
ENSRNOG00000014303	238	224	202	149	109	246	236	189	203	98
ENSRNOG00000051899	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000014330	323	219	246	276	236	274	246	231	278	212
ENSRNOG00000049505	23	19	17	30	24	35	27	41	26	16
ENSRNOG00000014916	177	174	136	174	135	189	168	174	225	121
ENSRNOG00000014996	23	18	16	29	23	30	24	28	28	14
ENSRNOG00000015239	417	306	308	310	249	348	304	333	364	241
ENSRNOG00000055508	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000053710	0	0	0	0	0	0	0	0	1	0
ENSRNOG00000015552	45	33	65	25	29	48	38	33	50	27
ENSRNOG00000016041	3	1	1	0	1	1	2	3	2	1
ENSRNOG00000016054	804	605	601	666	568	723	519	608	670	508
ENSRNOG00000016381	30	20	18	12	14	36	19	25	37	21
ENSRNOG00000054005	0	0	0	0	1	0	0	0	1	0
ENSRNOG00000059137	0	0	0	0	0	0	0	0	0	0
ENSRNOG00000013160	332	202	222	210	191	184	96	148	211	133
